age,gender,job,club,sport,band,game_hrs,GPA,siblings,friends,books,meals,iphone,songs,absent,romance,study,mother,father,parents,CARD
17,M,N,N,Y,N,4,3.5,3,6,2,1,Y,4,3,Y,1,4,5,D,3
17,F,Y,Y,N,Y,0,3.8,1,5,0,10,Y,2,1,N,2,4,4,M,3
17,F,Y,Y,Y,N,0,3.6,0,4,2,15,Y,2,0,N,4,3,2,D,3
18,M,Y,N,Y,N,2,3.28,1,2,1,10,Y,1,4,Y,1,4,3,M,3
17,M,Y,Y,N,N,2,3.4,2,2,2,10,Y,2,2,Y,1,4,5,M,3
17,F,Y,N,N,N,1,3.7,2,2,1,0,Y,1,1,Y,1,4,3,D,3
18,F,Y,N,N,N,1,4,1,1,1,5,Y,2,1,Y,1,5,4,D,3
17,F,N,Y,Y,N,1,4,1,2,1,5,Y,4,1,Y,2,4,4,M,3
18,F,Y,Y,Y,N,1,4.2,2,2,1,15,Y,1,1,N,2,4,4,M,3
17,M,Y,Y,Y,N,1,4.4,1,3,1,8,Y,4,1,Y,4,4,5,M,3
18,F,N,Y,Y,N,1,4.58,1,2,1,2,Y,2,1,,2,4,5,C,3
17,F,N,Y,N,N,1,4.6,3,3,1,10,Y,1,1,N,4,5,4,M,3
17,M,Y,N,N,N,1,,3,2,3,6,Y,5,1,Y,1,2,3,C,2
17,F,Y,Y,Y,N,1,,2,3,1,4,Y,1,2,Y,4,4,4,M,3
18,F,Y,N,Y,N,1,3.4,2,2,1,10,N,4,1,N,4,3,4,M,3
18,M,Y,Y,Y,N,4,4.3,1,2,1,4,N,1,15,N,3,5,5,M,1
18,M,Y,Y,Y,N,2,2.8,1,3,1,5,Y,0,3,N,2,5,2,D,1
17,F,Y,Y,Y,N,1,3.7,1,2,1,15,Y,0,3,N,4,4,5,M,3
17,M,Y,Y,Y,N,1,3.9,2,1,1,5,Y,4,1,N,1,4,4,M,3
17,F,N,Y,Y,N,1,4.2,1,1,1,0,Y,0,1,N,5,2,2,M,2
18,M,Y,Y,Y,N,3,3.5,2,2,1,12,Y,4,3,N,1,4,4,M,3
18,M,N,Y,Y,N,1,3.8,1,1,1,0,Y,0,4,N,1,4,4,M,3
16,F,N,Y,N,N,1,4,2,1,1,4,Y,2,2,N,3,4,5,M,3
17,F,N,Y,Y,N,1,3.7,2,2,1,10,Y,1,0,Y,2,4,4,M,2
17,M,N,Y,Y,N,1,4,1,2,1,10,Y,4,2,Y,4,4,5,M,3
17,F,N,Y,N,N,1,4.2,1,4,1,5,Y,2,12,N,4,4,4,M,2
17,M,Y,Y,Y,Y,1,4.7,2,3,2,4,Y,4,0,,3,5,5,M,2
17,M,Y,Y,Y,N,2,3.6,3,2,1,10,Y,3,0,Y,4,4,5,M,3
17,F,Y,Y,Y,N,1,4.667,4,4,1,10,Y,1,4,N,5,3,5,M,3
17,M,Y,N,Y,N,1,4.2,2,2,2,3,N,2,0,N,4,3,5,M,3
17,F,Y,N,Y,N,1,4.1,5,1,1,2,Y,2,0,N,2,4,4,D,2
15,M,N,Y,N,Y,5,4.05,1,2,2,0,N,1,0,Y,3,5,5,M,1
17,M,N,Y,N,Y,1,4.757,3,3,1,2,N,1,1,Y,3,5,5,M,1
17,M,N,Y,Y,N,1,4.9,1,2,1,8,Y,1,0,Y,3,4,4,M,3
17,F,Y,Y,Y,N,1,4.05,1,2,3,5,Y,4,2,Y,4,4,5,M,3
17,F,N,Y,Y,N,1,4.03,1,1,1,2,Y,1,1,N,5,3,3,M,3
16,F,N,Y,Y,Y,1,4.1,2,1,1,0,Y,2,2,N,3,5,5,M,2
17,F,Y,Y,Y,N,1,3.75,2,3,4,5,Y,2,3,N,3,4,4,M,3
